artist,stage,time,date
A Little Sound,THE ROSE GARDEN,12:00,2026-07-17
ÆON:MODE,THE ROSE GARDEN,12:00,2026-07-17
ARTBAT,THE GREAT LIBRARY,12:00,2026-07-17
Audiowave,ELIXIR,12:00,2026-07-17
AWEN,MELODIA BY CORONA,12:00,2026-07-17
Bassjackers,MAINSTAGE,12:00,2026-07-17
Ben Malone,THE RAVE CAVE,12:00,2026-07-17
Bibi Seck,CORE,12:00,2026-07-17
BISOUX,ATMOSPHERE,12:00,2026-07-17
"Blooom, Sudley",THE ROSE GARDEN,12:00,2026-07-17
Bosart,MOOSE BAR,12:00,2026-07-17
Camo & Krooked,THE ROSE GARDEN,12:00,2026-07-17
CARV,ATMOSPHERE,12:00,2026-07-17
Chainsmokers,MAINSTAGE,12:00,2026-07-17
Cyborg-18,PLANAXIS,12:00,2026-07-17
"Da Capo, Caiiro, Enoo Napa",MELODIA BY CORONA,12:00,2026-07-17
Da Tweekaz,THE GREAT LIBRARY,12:00,2026-07-17
Danni Gato,MELODIA BY CORONA,12:00,2026-07-17
Disco Lines,MAINSTAGE,12:00,2026-07-17
DITHER,CAGE,12:00,2026-07-17
DJ Sally,THE GREAT LIBRARY,12:00,2026-07-17
Eileen,CORE,12:00,2026-07-17
elMefti,CAGE,12:00,2026-07-17
Eridu,CRYSTAL GARDEN,12:00,2026-07-17
Fabio Fusco,PLANAXIS,12:00,2026-07-17
Firaga,PLANAXIS,12:00,2026-07-17
Flavour Drop,ELIXIR,12:00,2026-07-17
Funktastix,MOOSE BAR,12:00,2026-07-17
"GPF, Dr Donk",CAGE,12:00,2026-07-17
"Hardwell, Sub Zero Project",THE GREAT LIBRARY,12:00,2026-07-17
Henri PFR,MAINSTAGE,12:00,2026-07-17
HI Profile,PLANAXIS,12:00,2026-07-17
High Grade Sound,ELIXIR,12:00,2026-07-17
Holy Priest,FREEDOM BY BUD,12:00,2026-07-17
Isa Roos,MELODIA BY CORONA,12:00,2026-07-17
John OO Fleming,PLANAXIS,12:00,2026-07-17
Kanine,THE ROSE GARDEN,12:00,2026-07-17
"Kenny Montana, John Noseda",CORE,12:00,2026-07-17
KUKO,ATMOSPHERE,12:00,2026-07-17
Lerato Tsotetsi,MELODIA BY CORONA,12:00,2026-07-17
"LOLALITA, BRENNT",CAGE,12:00,2026-07-17
LUNAKORPZ,CAGE,12:00,2026-07-17
Mad Maxx,PLANAXIS,12:00,2026-07-17
MAE.LIEN,THE ROSE GARDEN,12:00,2026-07-17
MagiK,THE GREAT LIBRARY,12:00,2026-07-17
"MANDY, NEGITIV",ATMOSPHERE,12:00,2026-07-17
Manuals,THE GREAT LIBRARY,12:00,2026-07-17
Marlon Hoffstadt,MAINSTAGE,12:00,2026-07-17
Marsolo,CRYSTAL GARDEN,12:00,2026-07-17
Martin Garrix,MAINSTAGE,12:00,2026-07-17
MATTN,MAINSTAGE,12:00,2026-07-17
Max Styler,FREEDOM BY BUD,12:00,2026-07-17
MC Rim,ELIXIR,12:00,2026-07-17
MC STRETCH,MAINSTAGE,12:00,2026-07-17
Mike Williams,THE GREAT LIBRARY,12:00,2026-07-17
Milinguap,ELIXIR,12:00,2026-07-17
Mind Against,FREEDOM BY BUD,12:00,2026-07-17
MIND COMPRESSOR,CAGE,12:00,2026-07-17
Miss Monique,FREEDOM BY BUD,12:00,2026-07-17
Modeselektor (DJ-set),CORE,12:00,2026-07-17
Monsieur,ELIXIR,12:00,2026-07-17
Murdock,THE ROSE GARDEN,12:00,2026-07-17
Neelix,PLANAXIS,12:00,2026-07-17
NERVO,MAINSTAGE,12:00,2026-07-17
Nicky Romero,THE GREAT LIBRARY,12:00,2026-07-17
Nico Moreno,ATMOSPHERE,12:00,2026-07-17
Nona Van Braeckel,ELIXIR,12:00,2026-07-17
Novah,MAINSTAGE,12:00,2026-07-17
Ofenbach,THE GREAT LIBRARY,12:00,2026-07-17
Omiki,PLANAXIS,12:00,2026-07-17
Peterblue,ATMOSPHERE,12:00,2026-07-17
Primate,THE ROSE GARDEN,12:00,2026-07-17
R3HAB,THE GREAT LIBRARY,12:00,2026-07-17
Rayzen,CAGE,12:00,2026-07-17
Rick & James 80's Party,ELIXIR,12:00,2026-07-17
Rino,MOOSE BAR,12:00,2026-07-17
Rose Ringed,FREEDOM BY BUD,12:00,2026-07-17
Rosey Gold,MELODIA BY CORONA,12:00,2026-07-17
ROW1,ATMOSPHERE,12:00,2026-07-17
Sacha Malice,CAGE,12:00,2026-07-17
Sally C,CORE,12:00,2026-07-17
Sam Feldt,THE GREAT LIBRARY,12:00,2026-07-17
"Sandy Warez, Revenja",CAGE,12:00,2026-07-17
Sara Landry,ATMOSPHERE,12:00,2026-07-17
"Sasha, Young Marco",CORE,12:00,2026-07-17
Sebastian Ingrosso,MAINSTAGE,12:00,2026-07-17
Semsei,FREEDOM BY BUD,12:00,2026-07-17
Somnia,PLANAXIS,12:00,2026-07-17
Soul Shakers,ELIXIR,12:00,2026-07-17
STOOG3S,THE ROSE GARDEN,12:00,2026-07-17
Thakzin,MELODIA BY CORONA,12:00,2026-07-17
To be announced,HOUSE OF FORTUNE BY JBL,12:00,2026-07-17
To be announced,RISE,12:00,2026-07-17
Tola OG,ELIXIR,12:00,2026-07-17
Tomas Grey,THE GREAT LIBRARY,12:00,2026-07-17
Trip-Tamine,PLANAXIS,12:00,2026-07-17
Unregular,ELIXIR,12:00,2026-07-17
Vanco,MELODIA BY CORONA,12:00,2026-07-17
"Vernex, NRKi",CAGE,12:00,2026-07-17
VON BIKRÄV,CAGE,12:00,2026-07-17
Whisnu Santika,THE GREAT LIBRARY,12:00,2026-07-17
Yannick Thiry,PLANAXIS,12:00,2026-07-17
ZUKE,THE RAVE CAVE,12:00,2026-07-17
